"LG_Mannheim_7_O_436";"freq";"simple";"manuel";"comment"
"1 GWB";1;"1gwb";"1 GWB";""
"156 ZPO";1;"156zpo";"156 ZPO";""
"288 Abs 1 S 2 BGB";1;"288abs1s2bgb";"288 Abs 1 S 2 BGB";""
"288 Abs 2 BGB";1;"288abs2bgb";"288 Abs 2 BGB";""
"288 BGB";1;"288bgb";"288 BGB";""
"289 Satz 1 des Buergerlichen Gesetzbuchs";1;"289satz1desbuergerlichengesetzbuchs";"289 Satz 1 des Buergerlichen Gesetzbuchs";""
"296a";1;"296a";"296a";""
"305 c BGB";1;"305cbgb";"305 c BGB";""
"305 f BGB";1;"305fbgb";"305 f BGB";""
"307 Abs 1 BGB";1;"307abs1bgb";"307 Abs 1 BGB";""
"309 Nr 5 lit a BGB";1;"309nr5litabgb";"309 Nr 5 lit a BGB";""
"309 Nr 5 lit a und b BGB";3;"309nr5litaundbbgb";"309 Nr 5 lit a und b BGB";""
"309 Nr 5 lit b BGB";2;"309nr5litbbgb";"309 Nr 5 lit b BGB";""
"310 Abs 1 S 2 BGB";3;"310abs1s2bgb";"310 Abs 1 S 2 BGB";""
"310 BGB";1;"310bgb";"310 BGB";""
"33 Abs 1 Abs 3 S 1 GWB";1;"33abs1abs3s1gwb";"33 Abs 1 Abs 3 S 1 GWB";""
"33 Abs 3 S 5 GWB";1;"33abs3s5gwb";"33 Abs 3 S 5 GWB";""
"33 Abs 3 Satz 5 GWB";1;"33abs3satz5gwb";"33 Abs 3 Satz 5 GWB";""
"33 Abs 4 GWB";4;"33abs4gwb";"33 Abs 4 GWB";""
"709 S 1 und 2 ZPO";1;"709s1und2zpo";"709 S 1 und 2 ZPO";""
"8 Nr 2 VOLB";4;"8nr2volb";"8 Nr 2 VOLB";""
"81 Abs 6 S 2 GWB";1;"81abs6s2gwb";"81 Abs 6 S 2 GWB";""
"89 Abs 1 GWB";1;"89abs1gwb";"89 Abs 1 GWB";""
"92 Abs 2 Nr 1 ZPO";1;"92abs2nr1zpo";"92 Abs 2 Nr 1 ZPO";""
"BGH NJW 1984 2941";1;"bghnjw19842941";"BGH NJW 1984 2941";""
"BGH NJW 1996 1209";2;"bghnjw19961209";"BGH NJW 1996 1209";""
"BGH NJW 2010 1872";1;"bghnjw20101872";"BGH NJW 2010 1872";""
"BGHSt 38 186 194";1;"bghst38186194";"BGHSt 38 186 194";""
"BGHZ 22 109 113";1;"bghz22109113";"BGHZ 22 109 113";""
"BGHZ 33 216 218";1;"bghz33216218";"BGHZ 33 216 218";""
"Kart";1;"kart";"Kart";""
"Roth  33a GWB Schadensersatzpflicht IX Vertragsstrafe Garantieversprechen Schadenspauschalierung";1;"roth33agwbschadensersatzpflichtixvertragsstrafegarantieversprechenschadenspauschalierung";"Roth  33a GWB Schadensersatzpflicht IX Vertragsstrafe Garantieversprechen Schadenspauschalierung";""
"Roth  33a GWB Schadensersatzpflicht XII Verzinsung  33a Abs 4 Satz 1 und 2";1;"roth33agwbschadensersatzpflichtxiiverzinsung33aabs4satz1und2";"Roth  33a GWB Schadensersatzpflicht XII Verzinsung  33a Abs 4 Satz 1 und 2";""
"So auch LG Duesseldorf 14d Zivilkammer 19 11 2015 14d O 414";1;"soauchlgduesseldorf14dzivilkammer1911201514do414";"So auch LG Duesseldorf 14d Zivilkammer 19 11 2015 14d O 414";""
"Stefan Thomas Lukas Bleier KSzW 2015 261267 Aufsatz";1;"stefanthomaslukasbleierkszw2015261267aufsatz";"Stefan Thomas Lukas Bleier KSzW 2015 261267 Aufsatz";""
