"";"manuel";"freq"
"1";"1gwb";3
"2";"133abs1umwg";1
"3";"138abs3zpo";1
"4";"138abs4zpo";1
"5";"199abs3bgb";1
"6";"2014eu104";1
"7";"204abs2bgb";1
"8";"304abs1zpo";1
"9";"33abs1gwbivm33abs3gwb";1
"10";"33abs3gwb";2
"11";"33abs4gwb";5
"12";"33abs5gwb";6
"15";"33gwb";9
"16";"33abs3gwbivm33abs1gwb";1
"19";"33aabs1gwb";1
"20";"7o11114";1
"21";"7o20614";1
"22";"823abs2bgb";1
"23";"840bgb";1
"24";"849bgb";1
"25";"169abs1egbgb";1
"26";"bghviizr1209";1
"27";"bghz190145";2
"28";"kgbe2u1003kart";1
"29";"lgbe1612201416o38413kart";1
"30";"lgbe16o38413kart";1
"31";"lgbe608201316o19311kart";1
"32";"lgdo13o5502kart";1
"33";"lgdu14do414";1
"34";"lgha18o25914";1
"35";"lgma040520127o43611";1
"36";"lgpo2o2914";1
"37";"njw2006163";1
"38";"nzkart2013195";1
"39";"nzkart2014366";1
"40";"nzkart2016214";2
"41";"nzkart2016422";1
"42";"nzkart2016422ff";1
"43";"nzkart2016595";1
"44";"nzkart201688";1
"45";"nzkart2017440";1
"46";"nzkart201786";2
"47";"nzkart201786ff";1
"48";"olgdr7u142113";1
"49";"olgka6u5112kart";2
"50";"olgmuu500611kart";1
"51";"rg01071889rgz24266";1
"52";"wuw201798";1
