;date;court;title;az;keyword;city;chamber;personalrights;aehnlich1;aehnlich2;aehnlich3
11;05.07.2017;LG Köln 28. Zivilkammer;Persönlichkeitsrechtsverletzung: Geldentschädigungsanspruch des Fußballbundestrainers aufgrund ...;28 O 9/17;Persönlichkeitsrechtsverletzung;Köln ;28;1;1;2;NA
12;05.07.2017;LG Köln 28. Zivilkammer;Anspruch auf Unterlassung der Bildberichterstattung wegen Verletzung des allgemeinen ...;28 O 177/15;Anspruch auf Unterlassung der Bildberichterstattung wegen Verletzung des allgemeinen ...;Köln ;28;0;1;NA;NA
13;05.07.2017;LG Köln 28. Zivilkammer;Unterlassungsanspruch hinsichtlich der Veröffentlichung von Videoaufnahmen wegen Verletzung des ...;28 O 178/15;Unterlassungsanspruch hinsichtlich der Veröffentlichung von Videoaufnahmen wegen Verletzung des ...;Köln ;28;0;1;NA;NA
22;27.04.2017;LG Frankfurt 3. Zivilkammer;Persönlichkeitsrechtsverletzung bei erwachsenen Kindern von Prominenten: Presseveröffentlichung ...;2-03 O 214/16, 2/03 O 214/16, 2-3 O 214/16, 2/3 O 214/16;Persönlichkeitsrechtsverletzung bei erwachsenen Kindern von Prominenten;Frankfurt ;3;1;1;NA;NA
42;27.04.2016;LG Köln 28. Zivilkammer;Recht am eigenen Bild: Bildberichterstattung über einen Lebensmitteleinkauf eines ehemaligen ...;28 O 379/15;Recht am eigenen Bild;Köln ;28;0;1;NA;NA
44;06.04.2016;LG Köln 28. Zivilkammer;Persönlichkeitsrechtsverletzung: Geldentschädigung bei Veröffentlichung heimlich gefertigter ...;28 O 398/15;Persönlichkeitsrechtsverletzung;Köln ;28;1;1;NA;NA
49;05.02.2016;LG Hamburg 24. Zivilkammer;Persönlichkeitsrechtsverletzung in der Presse: Unterlassungsanspruch der Witwe eines berühmten ...;324 O 341/15;Persönlichkeitsrechtsverletzung in der Presse;Hamburg ;24;1;1;NA;NA
58;25.09.2015;LG Hamburg 24. Zivilkammer;Anspruch auf eine Geldentschädigung wegen wiederholter Veröffentlichung von Fotos der Betroffenen;324 O 161/15;Anspruch auf eine Geldentschädigung wegen wiederholter Veröffentlichung von Fotos der Betroffenen;Hamburg ;24;0;1;NA;NA
62;11.06.2015;LG Berlin 27. Zivilkammer;Persönlichkeitsrechtsverletzung und Verletzung des Rechts am eigenen Bild: ...;27 O 120/15;Persönlichkeitsrechtsverletzung und Verletzung des Rechts am eigenen Bild;Berlin ;27;1;1;2;NA
66;10.06.2015;LG Köln 28. Zivilkammer;Unterlassungsanspruch hinsichtlich der Bildnisveröffentlichungen wegen Verletzung des ...;28 O 567/14;Unterlassungsanspruch hinsichtlich der Bildnisveröffentlichungen wegen Verletzung des ...;Köln ;28;0;1;NA;NA
69;03.06.2015;LG Köln 28. Zivilkammer;Persönlichkeitsrechtsverletzung durch Presseveröffentlichung: Abbildung einer Schauspielerin ...;28 O 466/14;Persönlichkeitsrechtsverletzung durch Presseveröffentlichung;Köln ;28;1;1;NA;NA
79;10.12.2014;LG München I 9. Zivilkammer;Persönlichkeitsrechtsverletzung in der Presse: Berichterstattung einer Boulevardzeitung über ...;9 O 17263/14;Persönlichkeitsrechtsverletzung in der Presse;München I ;9;1;1;NA;NA
86;29.08.2014;LG Hamburg 24. Zivilkammer;Allgemeines Persönlichkeitsrecht: Geldentschädigungsanspruch aufgrund einer Bild- und ...;324 O 72/14;Allgemeines Persönlichkeitsrecht;Hamburg ;24;1;1;2;NA
